All,Allt
None,Ekkert
"Allowed Scopes","Leyfð svið"
"You need more permissions to apply some of the rule updates.","Þú hefur ekki réttindi til að vista þessar reglubreytingar."
"You need more permissions to access website ""%1"".","Þú hefur ekki réttindi til að nálgast vefsíðuna ""%1""."
"Role Scopes",Hlutverkasvið
Custom,Sérsniðið
"Read Details","Lesa smáatriði"
"Mark as Read","Merkja sem lesið"
"Are you sure?","Ertu viss?"
Remove,Fjarlægja
"Messages Inbox","Innhólf skilaboða"
"You have %1 new system messages","Þú átt %1 ný kerfisskilaboð"
"You have %1 new system message","Þú átt %1 ný kerfisskilaboð"
close,loka
Notifications,Tilkynningar
"Please select messages.","Vinsamlega veldu skilaboð."
"1 Hour","1 klst."
"2 Hours","2 klst."
"6 Hours","6 klst."
"12 Hours","12 klst."
"24 Hours","24 klst."
critical,Alvarlegt
major,meiriháttar
minor,minniháttar
notice,tilkynning
"Wrong message type","Röng gerð skilaboða"
"Wrong notification ID specified.","Rangt númer tilkynningar."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} er ekki heppilegt til notkunar nema við prófanir. Við mæltum með að breyta þessari stillingu á <a href=""%1"">stillingasíðu</a>."
Close,Loka
"Manage Shopping Cart","Sjá um vörukörfu"
"Clear my shopping cart","Tæma körfu"
"Add to Shopping Cart","Setja í körfu"
Customers,Viðskiptavinir
"Shopping Cart",Karfa
"You removed the items.","Þú fjarlægðir atriðin."
"You removed the item.","Þú fjarlægðir atriðið."
"You added %1 to your shopping cart.","Þú bættir við %1 í körfuna þína."
"You cannot add a product.","Þú getur ekki bætt við vöru."
"Order by SKU","Raða samkvæmt SKU"
"Availability: Out of stock.","Fáanleiki: Ekki til á lager."
"The file is empty.","Skráin er tóm."
"Yes, for Everyone","Já, fyrir alla"
No,Nei
"Shopping Cart Items",Körfuatriði
Qty,Magn
Discount,Afsláttur
Action,Aðgerð
"Please select","Vinsamlega veldu"
"No item specified.","Ekkert atriði tilgreint."
"SKU number",SKU-númer
"Upload File","Upphlaða skrá"
"Remove Row","Fjarlægja röð"
"View Shopping Cart","Sýna körfu"
"Customer Groups",Viðskiptavinahópar
"Please correct the data sent.","Vinsamlegast leiðréttið það sem er sent inn."
"Sales Rule",Sölureglur
"Related Search Terms","Skyld leitunarorð"
"Related search terms","Skyld leitunarorð"
"Search Query",Leitarorð
Uses,Notar
Synonym,Samheiti
"--Please Select--","--Vinsamlega veldu--"
"Command was not found.","Skipun fannst ekki."
Configuration,Stilling
Done,Lokið
Retry,Endurreyna
"Topic %1","Viðfangsefni %1"
Details,Ítarupplýsingar
Search,Leita
"Sign Out",Útskráning
Country,Land
"FTP Login","FTP Innskráning"
"Product was not registered","Varan er ekki skráð"
